Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,19.8799991607666,20.059999465942383,19.627700805664062,19.627700805664062,19.627700805664062,801
2020-01-03,19.799999237060547,19.880399703979492,19.799999237060547,19.880399703979492,19.880399703979492,400
2020-01-06,19.14240074157715,19.14240074157715,19.14240074157715,19.14240074157715,19.14240074157715,7
2020-01-07,19.052499771118164,19.052499771118164,19.052499771118164,19.052499771118164,19.052499771118164,0
2020-01-08,18.672199249267578,18.672199249267578,18.672199249267578,18.672199249267578,18.672199249267578,1
2020-01-09,18.399900436401367,18.420299530029297,18.388099670410156,18.420299530029297,18.420299530029297,1025
2020-01-10,18.589399337768555,18.589399337768555,18.589399337768555,18.589399337768555,18.589399337768555,43
2020-01-13,18.1200008392334,18.1200008392334,18.076400756835938,18.076400756835938,18.076400756835938,286
2020-01-14,18.233200073242188,18.233200073242188,18.233200073242188,18.233200073242188,18.233200073242188,4
2020-01-15,18.0,18.00480079650879,18.0,18.00480079650879,18.00480079650879,200
2020-01-16,17.599000930786133,17.599000930786133,17.599000930786133,17.599000930786133,17.599000930786133,25
2020-01-17,17.145999908447266,17.145999908447266,17.145999908447266,17.145999908447266,17.145999908447266,100
2020-01-21,17.36989974975586,17.36989974975586,17.19770050048828,17.19770050048828,17.19770050048828,100
2020-01-22,17.040000915527344,17.2052001953125,17.040000915527344,17.2052001953125,17.2052001953125,100
2020-01-23,17.520000457763672,17.520000457763672,17.46540069580078,17.46540069580078,17.46540069580078,200
2020-01-24,17.980100631713867,18.233699798583984,17.980100631713867,18.048599243164062,18.048599243164062,711
2020-01-27,18.899999618530273,18.899999618530273,18.895700454711914,18.895700454711914,18.895700454711914,400
2020-01-28,18.206600189208984,18.206600189208984,18.206600189208984,18.206600189208984,18.206600189208984,50
2020-01-29,18.32040023803711,18.32040023803711,18.32040023803711,18.32040023803711,18.32040023803711,50
2020-01-30,18.938600540161133,18.938600540161133,18.938600540161133,18.938600540161133,18.938600540161133,50
2020-01-31,19.760000228881836,19.829999923706055,19.760000228881836,19.829999923706055,19.829999923706055,200
2020-02-03,19.101699829101562,19.101699829101562,19.101699829101562,19.101699829101562,19.101699829101562,2
